天通西苑三区,18927,490000
天通苑东一区,19257,480000
西斯莱公馆,28436,0
天通苑北一区,21126,480000
天通苑东二区,18990,480000
北京像素北区,33704,0
7克拉,37592,0
东亚上北中心,25133,0
天通西苑二区,20546,480000
荣丰2008,45973,114000
天通苑北二区,20644,480000
旭辉奥都,26854,49500
石园北区,16854,600000
后现代城,36055,180000
顺驰领海,23863,289000
天通苑北三区,20184,480000
远洋山水,37470,41000
东方太阳城,19807,4887586
北京像素南区,28558,0
怡馨家园,19664,210000
天通西苑一区,21074,490000
仓上小区,16447,120000
百环家园,32044,180000
保利茉莉公馆,26641,225000
望京新城,31045,860000
佳和宜园,15683,0
五月华庭,45679,8960
首邑溪谷,33739,104679
珠江帝景,42527,340000
天通苑中苑,20960,480000
长城国际,21412,500000
悠乐汇,29398,0
香悦四季,21367,450000
美利山,32447,250000
前进花园石门苑,18451,35300
芍药居北里,38498,200000
东香庭,12148,360000
首城国际,45663,80000
望京西园三区,30943,174100
石园南区,15904,65900
林肯公园,26277,137000
东亚三环,28644,29861
龙湖香醍漫步四区,17745,316000
保利金泉,42343,184000
太月园,43736,54500
兴隆家园,32243,250000
星河湾,50629,346700
小南庄社区,46306,74285
沿海赛洛城,33044,250000
三环新城7号院,27069,340000
北苑家园望春园,31870,1150000
枣园小区,20102,130640
北苑家园茉藜园,29896,1500000
公园五号,50061,38000
双兴南区,17031,0
天畅园,31836,100000
富力又一城C区,25947,0
新景家园东区,50383,287000
金地仰山,25287,123000
金澳国际,43395,14000
明天第一城7号院,26631,140000
东南小区,70954,12000
万科紫苑,41851,69778
原生墅,26014,0
天作国际中心,46303,17000
DBC加州小镇,19990,180000
四季会,39050,13194
炫特嘉园三期,33747,0
马坡花园二区,15555,50000
郁花园一里,21076,650000
富力城D区,57600,487800
沸城,21323,60000
新起点嘉园,43928,63800
新华联家园北区,23590,5350000
港馨东区,15342,100000
玉林里小区,34372,0
设计师广场,30364,0
长安新城一区,28688,473000
滨河小区,16244,0
新通国际花园,21215,94463
柏林爱乐二期,26811,60000
金港国际,41400,93000
凤凰城,47225,250000
建外SOHO,43990,130000
阳光花园,38291,79218
月亮城堡,29447,0
国融国际,26129,100000
学院派,49451,29781
华清嘉园,60415,126700
天伦锦城,24421,150000
远见名苑,39448,168000
松榆西里,33747,464000
翠成馨园,27674,884615
石景苑,16099,106000
融景城,30894,0
京通苑,21282,170000
钻河公馆,44573,35967
奥北南区,27307,25200
海棠湾一期,23093,72000
新华联家园南区,22009,360000
世纪金色嘉园,39228,0
华发颐园,31998,44000
天鹅湾北区,53492,153400
龙湖花盛香醍,27674,98000
运河湾,22300,310306
万科四季花城,24036,300000
南湖东园一区,30884,107000
冠城名敦道,44501,52893
京贸国际公寓,20780,59000
裕龙三区,20975,448000
金隅七零九零,17740,180000
龙湖唐宁one,67080,50000
东兴一区,17634,160000
海特花园小区,25758,32000
北方明珠,24661,42000
青年汇佳园,37752,140000
千鹤家园,37684,100000
西坝河东里,37301,100000
珠江拉维小镇,19018,100000
马坡花园一区,15116,160000
上奥世纪中心,25524,320000
滨河西里,20257,500000
晓月新城,22026,36500
珠江逸景,15152,94000
加华印象街,20144,105000
北苑家园清友园,28484,1150000
合生麒麟社,33498,31140
第三区,42613,93549
九龙花园,34177,300000
二里庄小区,46819,0
世纪东方城,35536,550000
万科城市花园,20654,60000
鹏润家园,33001,53000
上地东里,0,0
融科香雪兰溪,18152,200000
弘善家园,29610,370300
通惠家园惠民园,29197,120000
澳洲康都,37445,60000
北苑家园绣菊园,27857,1150000
玺萌丽苑,32987,29500
万达广场,30759,16075
国美第一城一期,31547,240000
龙锦苑东五区,19736,150000
新街口西里三区,52959,80000
鼎城,24013,65355
荣尊堡国际俱乐部公寓,42433,29700
上北鑫座,23731,0
大悦城公寓,43982,0
龙锦苑东一区,19753,153333
首开智慧社,24932,0
彩虹新城,23935,1414000
名佳花园三区,22018,366686
南沙滩小区,37428,0
方恒东景,18229,0
紫金庄园,34992,20000
农光里,33603,0
双裕花园西区,19221,100000
富力城A区,52888,487800
天居园,33007,101000
圣世一品,57685,21528
今日家园,33327,72000
逸成东苑,44633,176000
东方银座,48338,31000
世纪星城三期,23678,180000
华纺易城,38670,252000
华贸国际公寓,53436,0
筑华年,33191,101384
CBD传奇,41467,50000
易构空间,37283,0
珠江峰景,32843,113000
阑西园,16431,0
朝阳园,33289,41000
清景园,28124,6666
龙泽苑西区,26529,380000
宣颐家园,26700,251700
月季园,42853,0
京贸国际城西区,22717,0
永乐东区,28741,0
珠江绿洲,25150,300000
宏福苑,13184,20000
炫特嘉园二期,33571,0
朝外SOHO,58369,19975
天通苑本五区,20977,480000
合生国际花园,49950,50000
流星花园三区,28226,420000
世茂奥临花园,46344,100000
gogo新世代,36679,15000
阳光丽景,67082,78000
