天通苑东一区,20820,480000,116.443016,40.073729
天通西苑三区,19820,490000,116.415902,40.082007
荣丰2008,48801,114000,116.341507,39.899633
天通苑中苑,22043,480000,115.893421,28.665621
天通苑北一区,22465,480000,116.42386,40.081124
远洋山水,41337,41000,116.247021,39.909442
7克拉,40754,0,116.390919,39.846299
东方太阳城,19272,4887586,115.735373,37.728512
天通苑北二区,22092,480000,116.419945,40.089957
旭辉奥都,29109,49500,116.420038,40.050669
天通西苑二区,21693,480000,116.41576,40.077816
苹果社区,44603,160000,115.960476,36.469215
后现代城,38446,180000,116.492853,39.904397
北京像素北区,35489,0,116.838369,40.380715
天通苑北三区,21596,480000,116.435189,40.081478
华贸城,41866,0,116.438335,40.054178
东亚上北中心,29443,0,116.345644,40.086137
香悦四季,21692,450000,116.665962,40.186866
西斯莱公馆,29792,0,0,0
美立方,36615,44000,0,0
天通苑东三区,20902,480000,116.443607,40.076248
林肯公园,28419,137000,120.274718,30.169314
望京新城,33652,860000,116.477257,40.000792
新龙城,30125,400000,126.977843,45.529364
美利山,34060,250000,116.509349,39.900846
兴隆家园,34837,250000,0,0
北京像素南区,30534,0,114.218796,22.231257
阳光上东,53591,475300,107.285378,34.352057
沿海赛洛城,35275,250000,116.509202,39.903099
万达广场,31746,16075,0,0
朝阳园,35151,41000,0,0
天畅园,33095,100000,116.422722,40.039238
珠江帝景,45007,340000,116.485866,39.897103
三里屯SOHO,59790,51245,116.461106,39.926419
枣园小区,22063,130640,116.612201,39.918813
远大园,57440,600000,116.287535,39.961503
怡馨家园,21114,210000,0,0
平原里小区,42924,3447,116.443801,40.074103
茶贸国际中心,25163,29400,116.473428,39.93404
百环家园,33464,180000,116.471689,39.896889
北苑家园茉藜园,32811,1500000,116.430323,40.04734
望京西园三区,32571,174100,116.480215,40.004545
首城国际,50206,80000,116.475537,39.89754
塔院小区,54262,0,116.367535,39.982601
保利茉莉公馆,29360,225000,0,0
悠乐汇,30852,0,116.484294,39.996396
华清嘉园,65446,126700,116.340968,39.998189
